,case,component,date_range,ensemble,experiment,file_basename,files,grid,sequence_order,stream,variable,year_offset,ctrl_branch_year,has_ocean_bgc
47,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen004_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen004_sh.024901-031612.nc,,0,cice.h,aicen004_sh,1699,,
48,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen005_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen005_nh.024901-031612.nc,,0,cice.h,aicen005_nh,1699,,
49,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen005_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen005_sh.024901-031612.nc,,0,cice.h,aicen005_sh,1699,,
50,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aisnap_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aisnap_nh.024901-031612.nc,,0,cice.h,aisnap_nh,1699,,
51,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aisnap_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aisnap_sh.024901-031612.nc,,0,cice.h,aisnap_sh,1699,,
52,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albice_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albice_nh.024901-031612.nc,,0,cice.h,albice_nh,1699,,
53,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albice_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albice_sh.024901-031612.nc,,0,cice.h,albice_sh,1699,,
54,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albpnd_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albpnd_nh.024901-031612.nc,,0,cice.h,albpnd_nh,1699,,
55,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albpnd_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albpnd_sh.024901-031612.nc,,0,cice.h,albpnd_sh,1699,,
56,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albsno_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.albsno_nh.024901-031612.nc,,0,cice.h,albsno_nh,1699,,
